system:index,survey_region_number,community,date,participants,region_polygon,region_reported,survey_coop_members,region_honey,survey_honey_perc,survey_hectares,survey_clr_resistant_perc,survey_coffee_harvest,survey_income_xhoney,survey_food_insecurity,community_pop,community_altitude_meters,nearest_town_distance_km,nearest_town,census_year,community_female,community_illiterate,community_edu,community_spanish,community_houses,community_houses_electricity,community_houses_tv,community_houses_car,community_houses_cellphone,community_houses_internet,source,longitude,latitude,.geo
1_1,1,Yalel Mesil,06/28/22,8,Yochibha,Yochibha,6,0,0,4.25,0.41,129.25,8143.75,1.62,104,936,40.3,Chilón,2020,51,0.1442,6.22,0.7019,16,1,0.3125,0,0.1875,0.0625,source #1,-91.89113059495796,17.113622928503556,"{""type"":""Point"",""coordinates"":[-91.89113059495796,17.113622928503556]}"
1_0,2,San Jeronimo Paxilha,06/29/22,25,San Jose Veracruz,San Jose Veracruz,12,0,0.08,3.12,0.26,304.72,17767.2,1.68,27,946,41.3,Chilón,2010,17,0.3704,1.88,0.4444,6,1,0,0,0,0.2,source #1,-91.88474133252052,17.058623918357796,"{""type"":""Point"",""coordinates"":[-91.88474133252052,17.058623918357796]}"
1_2,3,Bahtsel,06/30/22,38,Yaxwinic,Yaxwinic,4,0,0.0263158,2.95,0.31,314.18,16508.16,1.74,98,1150,15.6,Chilón,2020,50,0.1531,6.33,0.7449,16,0.6875,0.3125,0,0,0,source #1,-92.12359612197882,17.10741352760654,"{""type"":""Point"",""coordinates"":[-92.12359612197882,17.10741352760654]}"
1_3,4,Chichabanteljá,07/01/22,25,Yaxwinic,Yaxwinic,12,1,0.28,3.64,0.32,351.44,14581.8,1.64,193,962,17.9,Chilón,2020,97,0.0725,7.09,0.5596,34,1,0.3235,0,0.4118,0,source #1,-92.12031119002496,17.032660693617736,"{""type"":""Point"",""coordinates"":[-92.12031119002496,17.032660693617736]}"
2_3,5,Paraiso Chic'otanil,07/14/22,26,Paraiso Chic'otanil,Paraiso Chic'otanil,22,1,0.3461539,3.5,0.57,436.73,22010.77,2,76,983,4.4,Sitalá,2020,38,0.2895,4.35,0.6842,17,0.8235,0,0,0,0,source #2,-92.34603582760946,17.011633259609006,"{""type"":""Point"",""coordinates"":[-92.34603582760946,17.011633259609006]}"
2_1,6,Tumbo,07/15/22,21,Agua Dulce Tehuacan,Agua Dulce Tehuacan,12,0,0,5.95,0.32,370.1,21701.67,1.33,1655,613,53.5,Ocosingo,2020,825,0.168,5.52,0.8115,239,0.9958,0.4979,0.0418,0.0377,0,source #2,-91.62798528348745,17.076991062312516,"{""type"":""Point"",""coordinates"":[-91.62798528348745,17.076991062312516]}"
1_5,7,Tsubute'el,07/19/22,26,Tsubute'el,Tsubute'el,20,1,0.6538461,3.58,0.35,594.81,22714.23,1.19,84,1331,5.3,Chilón,2020,39,0.1786,4.87,0.703,16,0.75,0.4375,0,0.125,0,source #1,-92.30258519555454,17.070595457987032,"{""type"":""Point"",""coordinates"":[-92.30258519555454,17.070595457987032]}"
1_4,8,Coquite'el,07/20/22,25,Coquite'el,Coquite'el,12,0,0.04,2.6,0.37,210.12,11814.4,2.16,279,900,12,Chilón,2020,155,0.1183,5.64,0.6129,43,0.9535,0.3023,0.0233,0.3721,0.093,source #1,-92.17404615212423,17.1613406616774,"{""type"":""Point"",""coordinates"":[-92.17404615212423,17.1613406616774]}"
2_0,9,San Jose Veracruz,08/02/22,23,San Jose Veracruz,San Jose Veracruz,18,1,0.5217391,4.13,0.24,359.39,16706.52,2.04,90,848,32.7,Chilón,2020,51,0.0778,6.76,0.8333,19,94.74,0.1579,0.0526,0.4211,0,source #2,-91.96584043899261,17.07157935564399,"{""type"":""Point"",""coordinates"":[-91.96584043899261,17.07157935564399]}"
2_4,10,Ch'iviltic,08/03/22,23,Nuevo Progreso,Nuevo Progreso,9,1,0.2173913,3.48,0.29,244.13,13393.91,1.96,354,1701,11.3,Yajalón,2020,175,0.2458,4.78,0.6836,63,1,0.1429,0,0.0476,0,source #2,-92.42942209987196,17.129536949877274,"{""type"":""Point"",""coordinates"":[-92.42942209987196,17.129536949877274]}"
2_2,11,Tacuba Vieja,08/22/22,35,Nuevo Progreso,Unknown,1,0,0,3.97,0.34,541.2,16436.57,2.26,329,1259,9.3,Chilón,2020,168,0.1581,5.08,0.6079,88,0.9773,0.1591,0,0.1705,0.0114,source #2,-92.37444448627839,17.094427446358477,"{""type"":""Point"",""coordinates"":[-92.37444448627839,17.094427446358477]}"